prix,ville,nombre de chambres,surface,type,date de publication,type_enc,ville_enc
8500000.0,"Route de Tahanaoute, Marrakech",4.0,460.0,Villa,2025-05-20 22:02:51.767508,1,10
2600000.0,"Palmeraie, Marrakech",3.0,125.0,Appartement,2025-03-21 22:02:51.767509,0,6
9500000.0,"Chrifia, Marrakech",5.0,854.0,Villa,2024-12-21 22:02:51.767510,1,4
8900000.0,"Route de Tahanaoute, Marrakech",4.0,460.0,Villa,2025-05-20 22:02:51.767511,1,10
8300000.0,"Agdal, Marrakech",5.0,450.0,Villa,2025-06-19 22:02:51.767511,1,0
3200000.0,"Dar Bouazza, Casablanca",3.0,274.0,Villa,2024-12-21 22:02:51.767512,1,5
2900000.0,"Plaza, Marrakech",2.0,144.0,Appartement,2024-12-21 22:02:51.767513,0,7
9000000.0,"Chrifia, Marrakech",4.0,440.0,Villa,2024-12-21 22:02:51.767514,1,4
5300000.0,"Route d'Ourika, Marrakech",3.0,220.0,Villa,2025-05-20 22:02:51.767515,1,9
2700000.0,"Quartier des Hôpitaux, Casablanca",3.0,273.0,Appartement,2024-12-21 22:02:51.767516,0,8
2900000.0,"Argan Golf Ressort, Marrakech",3.0,220.0,Villa,2024-12-21 22:02:51.767517,1,2
8500000.0,"Targa, Marrakech",4.0,824.0,Villa,2024-12-21 22:02:51.767517,1,11
11000000.0,"Ain Diab, Casablanca",3.0,350.0,Appartement,2024-12-21 22:02:51.767518,0,1
6500000.0,"Chrifia, Marrakech",4.0,500.0,Villa,2024-12-21 22:02:51.767519,1,4
3900000.0,"Targa, Marrakech",4.0,291.0,Villa,2025-05-20 22:02:51.767520,1,11
8400000.0,"Chrifia, Marrakech",4.0,967.0,Villa,2024-12-21 22:02:51.767521,1,4
6120000.0,"Route d'Ourika, Marrakech",4.0,822.0,Villa,2025-05-20 22:02:51.767522,1,9
2980000.0,"Boulevard Al Massira Al Khadra, Casablanca",3.0,206.0,Appartement,2024-12-21 22:02:51.767522,0,3
8000000.0,"Chrifia, Marrakech",5.0,730.0,Villa,2024-12-21 22:02:51.767523,1,4
8500000.0,"Route de Tahanaoute, Marrakech",4.0,460.0,Villa,2025-05-20 22:02:51.767524,1,10
2600000.0,"Palmeraie, Marrakech",3.0,125.0,Appartement,2025-03-21 22:02:51.767525,0,6
9500000.0,"Chrifia, Marrakech",5.0,854.0,Villa,2024-12-21 22:02:51.767526,1,4
8900000.0,"Route de Tahanaoute, Marrakech",4.0,460.0,Villa,2025-05-20 22:02:51.767527,1,10
8300000.0,"Agdal, Marrakech",5.0,450.0,Villa,2025-06-19 22:02:51.767528,1,0
3200000.0,"Dar Bouazza, Casablanca",3.0,274.0,Villa,2024-12-21 22:02:51.767528,1,5
2900000.0,"Plaza, Marrakech",2.0,144.0,Appartement,2024-12-21 22:02:51.767529,0,7
9000000.0,"Chrifia, Marrakech",4.0,440.0,Villa,2024-12-21 22:02:51.767530,1,4
5300000.0,"Route d'Ourika, Marrakech",3.0,220.0,Villa,2025-05-20 22:02:51.767531,1,9
2700000.0,"Quartier des Hôpitaux, Casablanca",3.0,273.0,Appartement,2024-12-21 22:02:51.767532,0,8
2900000.0,"Argan Golf Ressort, Marrakech",3.0,220.0,Villa,2024-12-21 22:02:51.767533,1,2
8500000.0,"Targa, Marrakech",4.0,824.0,Villa,2024-12-21 22:02:51.767534,1,11
11000000.0,"Ain Diab, Casablanca",3.0,350.0,Appartement,2024-12-21 22:02:51.767534,0,1
6500000.0,"Chrifia, Marrakech",4.0,500.0,Villa,2024-12-21 22:02:51.767535,1,4
3900000.0,"Targa, Marrakech",4.0,291.0,Villa,2025-05-20 22:02:51.767536,1,11
8400000.0,"Chrifia, Marrakech",4.0,967.0,Villa,2024-12-21 22:02:51.767537,1,4
6120000.0,"Route d'Ourika, Marrakech",4.0,822.0,Villa,2025-05-20 22:02:51.767538,1,9
